school_name,fac_schtype
Hubert Middle School,M
Largo-Tibet Elementary School,E
Andrea B Williams Elementary School,E
Groves High School,H
Isle of Hope School,E
Pooler Elementary School,E
Bloomingdale Elementary School,E
Ellis Elementary School,E
Haven Elementary School,E
Hesse School,E
Port Wentworth Elementary School,E
Windsor Forest Elementary School,E
Butler Elementary School,E
Hodge Elementary School,E
Jenkins High School,H
Mercer Middle School,M
Jacob G. Smith Elementary School,E
Windsor Forest High School,H
Chattahoochee County Education Center,E
Chattahoochee County Middle School,M
Chattahoochee County High School,H
Leroy Massey Elementary School,E
Chattooga Academy,H
Chattooga High School,H
Lyerly Elementary School,E
Summerville Middle School,M
Menlo Elementary School,E
Carmel Elementary School,E
Woodstock Elementary School,E
"William G. Hasty, Sr. Elementary School",E
Creekview High School,H
Avery Elementary School,E
Mill Creek Middle School,M
River Ridge High School,H
Indian Knoll Elementary,E
Etowah High School,H
E. T. Booth Middle School,M
Johnston Elementary School,E
Dean Rusk Middle School,M
Boston Elementary School,E
Mountain Road Elementary School,E
Sequoyah High School,H
Sixes Elementary School,E
Bascomb Elementary School,E
Woodstock High School,H
R. M. Moore Elementary School,E
Holly Springs Elementary School,E
Liberty Elementary School,E
Freedom Middle School,M
Ball Ground Elementary School,E
Teasley Middle School,M
Woodstock Middle School,M
Creekland Middle School,M
Little River Elem.,E
Clark Creek Elementary School,E
Arnold Mill Elementary School,E
Free Home Elementary School,E
J. Knox Elementary,E
Clayton Elementary School,E
Oak Grove Elementary School,E
Hickory Flat Elementary School,E
Cherokee High School,H
Macedonia Elementary School,E
Cedar Shoals High School,H
Classic City High School,H
Alps Road Elementary School,E
Judia Jackson Harris Elementary,E
Timothy Elementary School,E
Cleveland Road Elementary School,E
Coile Middle School,M
Gaines Elementary School,E
Howard B. Stroud Elementary School,E
Burney-Harris-Lyons Middle School,M
Whit Davis Road Elementary School,E
Clarke Middle School,M
Whitehead Road Elementary School,E
Barnett Shoals Elementary School,E
Winterville Elementary School,E
Barrow Elementary School,E
Fowler Drive Elementary School,E
Oglethorpe Avenue Elementary School,E
Chase Street Elementary School,E
Hilsman Middle School,M
Clarke Central High School,H
Clay County Middle School,M
Clay County Elementary,E
M. D. Roberts Middle School,M
Callaway Elementary School,E
Mundy's Mill High School,H
Thurgood Marshall Elementary School,E
Jonesboro Middle School,M
Sequoyah Middle School,M
Mount Zion Primary,E
Elite Scholars Academy School,M
Charles R. Drew High School,H
Eddie White Middle School,M
Morrow Middle School,M
Kilpatrick Elementary School,E
Mundys Mill Middle School,M
Brown Elementary School,E
Mount Zion Elementary School,E
Adamson Middle School,M
Pointe South Elementary School,E
Lovejoy High School,H
Lovejoy Middle School,M
River's Edge Elementary School,E
Kendrick Middle School,M
Hawthorne Elementary School,E
Roberta T. Smith Elementary School,E
Harper Elementary School,E
"Martin Luther King, Jr. Elementary School",E
Kemp Primary,E
Rex Mill Middle School,M
Martha Ellen Stilwell School for the Performing Arts,H
Oliver Elementary School,E
Pointe South Middle School,M
Mount Zion High School,H
Lake Ridge Elementary School,E
James Jackson Elementary School,E
Kemp Elem School,E
Unidos Dual Language School,E
Riverdale High School,H
Perry Career Academy - Eula Wilburn Ponds Perry Center for Learning,H
Eddie White Elementary School,E
Kay R Pace Elementary School of the Arts,E
Anderson Elementary School,E
East Clayton Elementary School,E
Forest Park High School,H
Jonesboro High School,H
Lee Street Elementary School,E
Northcutt Elementary School,E
Tara Elementary School,E
Arnold Elementary School,E
North Clayton High School,H
Forest Park Middle School,M
Morrow Elementary School,E
Riverdale Elementary School,E
West Clayton Elementary School,E
Fountain Elementary School,E
Babb Middle School,M
North Clayton Middle School,M
Haynie Elementary School,E
Riverdale Middle School,M
Church Street Elementary School,E
Lake City Elementary School,E
Morrow High School,H
Suder Elementary School,E
Edmonds Elementary School,E
Huie Elementary School,E
William M. McGarrah Elementary School,E
Swint Elementary School,E
Clinch County Elementary School,E
Clinch County Middle School,M
Clinch County High School,H
Kennesaw Mountain High School,H
Riverside Intermediate School,E
Kell High School,H
Bullard Elementary School,E
McCall Primary School,E
Pickett's Mill Elementary,E
East Side Elementary School,E
Clarkdale Elementary School,E
Mableton Elementary School,E
Birney Elementary School,E
Walton High School,H
Mabry Middle School,M
Still Elementary School,E
Tritt Elementary School,E
McCleskey Middle School,M
Garrison Mill Elementary School,E
Keheley Elementary School,E
Pope High School,H
Baker Elementary School,E
Dowell Elementary School,E
Varner Elementary School,E
Harrison High School,H
Hayes Elementary School,E
Vaughan Elementary School,E
Chalker Elementary School,E
Nickajack Elementary School,E
Lindley Middle School,M
Kemp Elementary School,E
Pitner Elementary School,E
Austell Elementary School,E
Allatoona High School,H
Smyrna Elementary School,E
Kincaid Elementary School,E
Dodgen Middle School,M
Mount Bethel Elementary School,E
Pine Mountain Middle School,M
Dickerson Middle School,M
Lewis Elementary School,E
Mountain View Elementary School,E
Addison Elementary School,E
Campbell Middle School,M
Shallowford Falls Elementary School,E
Ford Elementary School,E
Smitha Middle School,M
Frey Elementary School,E
Cheatham Hill Elementary School,E
Durham Middle School,M
Acworth Intermediate School,E
Kennesaw Charter School,E
Riverside Primary School,E
Lindley 6th Grade Academy,M
Sprayberry High School,H
Murdock Elementary School,E
Rocky Mount Elementary School,E
Lassiter High School,H
Davis Elementary School,E
Simpson Middle School,M
Nicholson Elementary School,E
Hightower Trail Middle School,M
Green Acres Elementary School,E
Sanders Elementary School,E
Blackwell Elementary School,E
Hendricks Elementary School,E
Kennesaw Elementary School,E
Barber Middle School,M
Tapp Middle School,M
Sope Creek Elementary School,E
Powder Springs Elementary School,E
Timber Ridge Elementary School,E
Lost Mountain Middle School,M
Cooper Middle School,M
Big Shanty Elementary School,E
McClure Middle School,M
Bryant Elementary School,E
Palmer Middle School,M
Lovinggood Middle School,M
Hillgrove High School,H
Devereux Ackerman Academy,H
Cobb Horizon High School,H
Belmont Hills Elementary School,E
Campbell High School,H
East Cobb Middle School,M
Garrett Middle School,M
McEachern High School,H
Norton Park Elementary School,E
Powers Ferry Elementary School,E
Wheeler High School,H
Argyle Elementary School,E
North Cobb High School,H
King Springs Elementary School,E
Osborne High School,H
Griffin Middle School,M
Clay Elementary School,E
South Cobb High School,H
Fair Oaks Elementary School,E
Harmony-Leland Elementary School,E
LaBelle Elementary School,E
Milford Elementary School,E
Russell Elementary School,E
Compton Elementary School,E
Awtrey Middle School,M
Daniell Middle School,M
Pebblebrook High School,H
Teasley Elementary School,E
Hollydale Elementary School,E
Bells Ferry Elementary School,E
Brumby Elementary School,E
Due West Elementary School,E
Floyd Middle School,M
Sedalia Park Elementary School,E
Eastvalley Elementary School,E
Indian Creek Elementary,E
Ambrose Elementary School,E
Coffee Middle School,M
Wiregrass Regional College and Career Academy,H
Satilla Elementary School,E
Broxton-Mary Hayes Elementary,E
Coffee County High School,H
Eastside Elementary School,E
Nicholls Elementary School,E
George Washington Carver Freshman Campus,H
West Green Elementary School,E
Westside Elementary School,E
Willie J. Williams Middle School,M
Colquitt County Achievement Center,H
Doerun Elementary School,E
Odom Elementary School,E
Norman Park Elementary School,E
Colquitt County High School,H
Funston Elementary School,E
Wright Elementary School,E
Stringfellow Elementary School,E
CA Gray Junior High School,M
Okapilco Elementary School,E
Cox Elementary School,E
Hamilton Elementary School,E
Sunset Elementary School,E
Greenbrier Middle School,M
Lewiston Elementary School,E
Grovetown Middle School,M
River Ridge Elementary,E
Evans Middle School,M
Stallings Island Middle School,M
Grovetown High School,H
Westmont Elementary School,E
Harlem High School,H
Evans Elementary School,E
Blue Ridge Elementary School,E
Lakeside High School,H
Brookwood Elementary School,E
Stevens Creek Elementary School,E
Riverside Middle School,M
Riverside Elementary School,E
Greenbrier High School,H
Cedar Ridge Elementary School,E
Baker Place Elementary,E
Harlem Middle School,M
Lakeside Middle School,M
Greenbrier Elementary School,E
Euchee Creek Elementary School,E
Parkway Elementary School,E
Columbia Middle School,M
Martinez Elementary School,E
North Columbia Elementary School,E
Evans High School,H
North Harlem Elementary School,E
Grovetown Elementary School,E
South Columbia Elementary School,E
Cook County Middle School,M
Cook Elementary School,E
Cook High School,H
Cook Primary School,E
Arbor Springs Elementary,E
Willis Road Elementary,E
Lee Middle School,M
Brooks Elementary,E
White Oak Elementary School,E
Canongate Elementary School,E
Newnan Crossing Elementary School,E
Jefferson Parkway Elementary School,E
Northgate High School,H
Poplar Road Elementary School,E
Welch Elementary School,E
Glanton Elementary,E
East Coweta Middle School,M
Thomas Crossroads Elementary School,E
Madras Middle School,M
Smokey Road Middle School,M
East Coweta High School,H
Arnall Middle School,M
Arnco-Sargent Elementary School,E
Ruth Hill Elementary School,E
Evans Middle School,M
Atkinson Elementary School,E
Eastside Elementary School,E
Northside Elementary School,E
Elm Street Elementary School,E
Moreland Elementary School,E
Newnan High School,H
Western Elementary School,E
Crawford County Elementary School,E
Crawford County High School,H
Crawford County Middle School,M
Crisp County Primary School,E
Crisp County High School,H
Crisp County Middle School,M
Crisp County Elementary School,E
Crisp County Pre-K,E
Dade Elementary School,E
Dade County High School,H
Davis Elementary School,E
Dade Middle School,M
Kilough Elementary School,E
Dawson County Middle School,M
Dawson County Junior High,H
Riverview Elementary School,E
Robinson Elementary School,E
Dawson County High School,H
Black's Mill Elementary School,E
West Bainbridge Elementary School,E
New Beginning Learning Center,H
Potter Street Elementary School,E
Bainbridge Middle School,M
Hutto Middle School,E
Bainbridge High School,H
John Johnson Elementary School,E
Jones-Wheat Elementary School,E
Narvie Harris Elementary School,E
Wynbrooke Elementary School,E
"Martin Luther King, Jr. High School",H
Miller Grove High School,H
Flat Rock Elementary School,E
Princeton Elementary School,E
DeKalb Preparatory Academy Charter,E
Cedar Grove High School,H
Vanderlyn Elementary School,E
