school_name,fac_schtype
Washington Middle School,M
Eastside Elementary School,E
Cairo High School,H
Whigham Elementary School,E
Northside Elementary School,E
Southside Elementary School,E
Shiver Elementary School,E
Anita White Carson Middle School,M
LAKE OCONEE CHARTER,K12
Union Point Elementary,E
Greensboro Elementary,E
Greene County High School,H
Rock Springs Elementary School,E
Grayson High School,H
Norcross High School,H
Mill Creek High School,H
Trickum Middle School,M
Benefield Elementary School,E
Centerville Elementary School,E
Parkview High School,H
Head Elementary School,E
Brookwood High School,H
Berkeley Lake Elementary School,E
Shiloh High School,H
Pinckneyville Middle School,M
Meadowcreek High School,H
Richards Middle School,M
Phoenix High School,H
Chattahoochee Elementary School,E
Dacula Elementary School,E
Walnut Grove Elementary School,E
Craig Elementary School,E
Collins Hill High School,H
Harbins Elementary School,E
Creekland Middle School,M
Crews Middle School,M
Meadowcreek Elementary School,E
Freeman's Mill Elementary School,E
Osborne Middle School,M
Corley Elementary School,E
Mulberry Elementary School,E
Lanier Middle School,M
Lovin Elementary School,E
Knight Elementary School,E
Sweetwater Middle School,M
Five Forks Middle School,M
Beaver Ridge Elementary School,E
Annistown Elementary School,E
Shiloh Middle School,M
Hopkins Elementary School,E
Brookwood Elementary School,E
Norton Elementary School,E
Minor Elementary School,E
McKendree Elementary School,E
Shiloh Elementary School,E
Nesbit Elementary School,E
Fort Daniel Elementary School,E
Sugar Hill Elementary School,E
Hull Middle School,M
Mason Elementary School,E
Stripling Elementary School,E
Berkmar Middle School,M
Ivy Creek Elementary School,E
Rosebud Elementary School,E
Gwin Oaks Elementary School,E
Dacula Middle School,M
Arcado Elementary School,E
Gwinnett InterVention Education (GIVE) Center East,H
Cedar Hill Elementary School,E
Pharr Elementary School,E
Simonton Elementary School,E
Jackson Elementary School,E
Magill Elementary School,E
Partee Elementary School,E
Riverside Elementary School,E
Jones Middle School,M
Puckett's Mill Elementary School,E
Simpson Elementary School,E
Kanoheda Elementary School,E
McConnell Middle School,M
Taylor Elementary School,E
Sycamore Elementary School,E
Trip Elementary School,E
Cooper Elementary School,E
Patrick Elementary School,E
Parsons Elementary School,E
Oakland Meadow School,K12
Peachtree Ridge High School,H
Duluth Middle School,M
Alcova Elementary School,E
Bay Creek Middle School,M
Grace Snell Middle School,M
Ferguson Elementary School,E
Roberts Elementary School,E
Jenkins Elementary School,E
Anderson-Livsey Elementary School,E
Burnette Elementary School,E
Lanier High School,H
"Gwinnett School of Mathematics, Science and Technology",H
New Life Academy of Excellence,E
Berkmar High School,H
Dyer Elementary School,E
Lilburn Middle School,M
Rockbridge Elementary School,E
Alford Elementary,E
Starling Elementary School,E
Moore Middle School,M
Gwinnett Intervention Education Center (GIVE) West,H
Northbrook Middle School,M
Duncan Creek Elementary,E
Couch Middle School,M
Gwinnett Online Campus,H
North Metro Academy of Performing Arts,E
Winn Holt Elementary School,E
White Oak Elementary School,E
Level Creek Elementary School,E
Mountain View High School,H
Radloff Middle School,M
North Gwinnett Middle School,M
Chesney Elementary School,E
Twin Rivers Middle School,M
Archer High School,H
Woodward Mill Elementary School,E
Baggett Elementary School,E
Graves Elementary School,E
Jordan Middle School,M
Discovery High School,H
Coleman Middle School,M
Baldwin Elementary,E
International Transition Center,H
Paul Duke STEM High School,H
Bethesda Elementary School,E
Grayson Elementary School,E
Harmony Elementary School,E
Mountain Park Elementary School,E
Snellville Middle School,M
South Gwinnett High School,H
Britt Elementary School,E
Harris Elementary School,E
Camp Creek Elementary School,E
Central Gwinnett High School,H
Dacula High School,H
Norcross Elementary School,E
Summerour Middle School,M
North Gwinnett High School,H
Lawrenceville Elementary School,E
Peachtree Elementary School,E
Suwanee Elementary School,E
Duluth High School,H
Lilburn Elementary School,E
Cornelia Elementary School,E
Level Grove Elementary School,E
Habersham Ninth Grade Academy,H
Hilliard A. Wilbanks Middle School,M
Habersham Success Academy,H
Clarkesville Elementary School,E
North Habersham Middle School,M
Demorest Elementary School,E
South Habersham Middle School,M
Baldwin Elementary School,E
Habersham Central High School,H
Woodville Elementary School,E
Fairview Elementary School,E
Hazel Grove Elementary School,E
C. W. Davis Middle School,M
Martin Elementary School,E
Chestatee High School,H
Sugar Hill Elementary,E
Lanier College and Career Academy,H
Chicopee Elementary School,E
World Language Academy,E
Myers Elementary School,E
West Hall High School,H
Spout Springs Elementary School,E
Mount Vernon Elementary School,E
Friendship Elementary School,E
Chestatee Middle School,M
Flowery Branch High,H
Wauka Mountain Elementary School,E
East Hall Middle School,M
West Hall Middle School,M
North Hall Middle School,M
Cherokee Bluff Middle,M
Cherokee Bluff High School,H
Alternative Learning Center,H
World Language Academy Middle School,M
White Sulphur Elementary School,E
East Hall High School,H
North Hall High School,H
Flowery Branch Elementary School,E
Oakwood Elementary School,E
Lanier Elementary School,E
Riverbend Elementary School,E
Chestnut Mountain Elementary School,E
Lula Elementary School,E
Sardis Elementary School,E
South Hall Middle School,M
Johnson High School,H
Lyman Hall Elementary School,E
McEver Elementary School,E
Tadmore Elementary School,E
Hancock Central Middle School,M
Lewis Elementary School,E
Hancock Central High School,H
Tallapoosa Primary School,E
Buchanan Elementary School,E
Haralson County Middle School,M
Haralson County Rebel Academy,H
Buchanan Primary School,E
Haralson County High School,H
West Haralson Elementary School,E
Creekside School,M
Park Elementary School,E
Pine Ridge Elementary School,E
Mulberry Creek Elementary School,E
New Mountain Hill Elementary School,E
Harris County High School,H
Harris County Carver Middle School,M
North Hart Elementary School,E
Hart County Middle School,M
South Hart Elementary School,E
Hart County High School,H
Hartwell Elementary School,E
Heard County Middle School,M
Heard Elementary School,E
Heard County High School,H
Centralhatchee Elementary School,E
Ephesus Elementary School,E
Ola Elementary School,E
Union Grove High,H
Luella High School,H
Dutchtown High,H
Luella Elementary School,E
Dutchtown Elementary School,E
Woodland Elementary School,E
Cotton Indian Elementary School,E
Wesley Lakes Elementary School,E
Pate's Creek Elementary School,E
Pleasant Grove Elementary School,E
Mount Carmel Elementary School,E
East Lake Elementary,E
Dutchtown Middle School,M
Timber Ridge Elementary School,E
Walnut Creek Elementary,E
Bethlehem Elementary School,E
Rocky Creek Elementary,E
Locust Grove Middle,M
Locust Grove High,H
Hampton Middle School,M
Oakland Elementary School,E
Austin Road Elementary School,E
Stockbridge High School,H
Hickory Flat Elementary School,E
Unity Grove Elementary School,E
Ola High School,H
Woodland Middle School,M
Hampton High School,H
Eagle's Landing High School,H
Eagle's Landing Middle School,M
Austin Road Middle School,M
Red Oak Elementary School,E
New Hope Elementary,E
Woodland High School,H
Tussahaw Elementary,E
Flippen Elementary School,E
Ola Middle School,M
Rock Spring Elementary,E
Luella Middle School,M
Union Grove Middle,M
EXCEL Academy,H
Fairview Elementary School,E
Hampton Elementary School,E
Smith-Barnes Elementary School,E
Henry County High School,H
Stockbridge Elementary School,E
Henry County Middle School,M
Locust Grove Elementary School,E
Stockbridge Middle School,M
Eagle Springs Elementary,E
C. B. Watson Primary School,E
Lake Joy Primary School,E
David A. Perdue Primary,E
Huntington Middle School,M
Mossy Creek Middle School,M
Veterans High School,H
Houston County Crossroads Center,H
Langston Road Elementary School,E
Pearl Stephens Elementary School,E
Northside Elementary School,E
Houston County High School,H
Perdue Elementary School,E
Quail Run Elementary School,E
Feagin Mill Middle School,M
Matthew Arthur Elementary School,E
Perry Middle School,M
Thomson Middle School,M
Lake Joy Elementary School,E
Bonaire Middle School,M
Hilltop Elementary School,E
Bonaire Elementary School,E
Northside Middle School,M
Perry High School,H
Centerville Elementary School,E
Northside High School,H
Morningside Elementary School,E
Westside Elementary School,E
Parkwood Elementary School,E
Tucker Elementary School,E
Kings Chapel Elementary School,E
Lindsey Elementary School,E
Russell Elementary School,E
Warner Robins High School,H
Miller Elementary School,E
Shirley Hills Elementary School,E
Warner Robins Middle School,M
Irwin County Middle School,M
Irwin County Elementary School,E
Irwin County High School,H
West Jackson Elementary School,E
East Jackson Elementary School,E
East Jackson Comprehensive High School,H
Jackson County Comprehensive High School,H
East Jackson Middle School,M
Gum Springs Elementary School,E
West Jackson Middle School,M
Maysville Elementary School,E
North Jackson Elementary School,E
South Jackson Elementary School,E
Washington Park Elementary School,E
Jasper County High School,H
Jasper County Primary School,E
Jasper County Middle School,M
Jeff Davis Primary School,E
Jeff Davis Middle School,M
Jeff Davis Elementary School,E
Jeff Davis High School,H
Jefferson County High School,H
Louisville Middle School,M
Wrens Middle School,M
Carver Elementary School,E
Louisville Academy,E
Wrens Elementary School,E
Jenkins County Middle School,M
Jenkins County High School,H
Jenkins County Elementary School,E
Johnson County Middle School,M
Johnson County Elementary School,E
Johnson County High School,H
Clifton Ridge Middle School,M
Mattie Wells Elementary School,E
Gray Station Middle School,M
Turner Woods Elementary School,E
Jones County High School,H
Dames Ferry Elementary School,E
Gray Elementary School,E
Lamar County Elementary School,E
Lamar County High School,H
Lamar County Middle School,M
Lamar County Primary School,E
Lanier County Middle School,M
Lanier County Elementary School,E
Lanier County High School,H
Lanier County Primary School,E
Southwest Laurens Elementary,E
East Laurens Primary School,E
East Laurens Elementary School,E
West Laurens High School,H
East Laurens High School,H
Northwest Laurens Elementary,E
East Laurens Middle School,M
West Laurens Middle School,M
Lee County Middle School West,M
Lee County Elementary School,E
Lee County Middle School East,M
Lee County Primary School,E
Lee County High School,H
Kinchafoonee Primary School,E
Lee High School 9th Grade Campus,H
Twin Oaks Elementary,E
Waldo Pafford Elementary School,E
Midway Middle School,M
Liberty Elementary School,E
Bradwell Institute,H
Button Gwinnett Elementary School,E
Lyman Hall Elementary School,E
Joseph Martin Elementary School,E
Liberty County High School,H
Taylors Creek Elementary School,E
Snelson-Golden Middle School,M
Frank Long Elementary School,E
Lewis Frasier Middle School,M
Lincoln County Middle School,M
Lincoln County High School,H
Lincoln County Elementary School,E
Smiley Elementary School,E
Long County High School,H
Long County Middle School,M
McClelland Elementary School,E
Dewar Elementary,E
Westside Elementary School,E
Pine Grove Middle School,M
Moulton-Branch Elementary School,E
Hahira Elementary School,E
Pine Grove Elementary School,E
Clyattville Elementary School,E
Lowndes Middle School,M
Hahira Middle School,M
Lake Park Elementary School,E
Lowndes High School,H
Lumpkin County High School,H
Blackburn Elementary School,E
Long Branch Elementary School,E
Lumpkin County Middle School,M
Lumpkin County Elementary School,E
Macon County Elementary School,E
Macon County Middle School,M
Macon County High School,H
Hull-Sanford Elementary School,E
Danielsville Elementary School,E
Colbert Elementary School,E
Madison County Middle School,M
Comer Elementary School,E
Ila Elementary School,E
Madison County High School,H
L. K. Moss Elementary School,E
Marion County Middle/High School,H
Thomson-McDuffie Middle School,M
Norris Elementary School,E
Maxwell Elementary School,E
Dearing Elementary School,E
Thomson High School,H
Thomson Elementary School,E
McIntosh County Middle School,M
McIntosh Academy,H
Todd Grant Elementary School,E
Unity Elementary School (PK-5),E
George E. Washington Elementary School (PK-5),E
Mountain View Elementary School,E
Good Sheperd Therapeutic Center,H
Greenville High School,H
Greenville Middle School,M
Manchester High School,H
Manchester Middle School,M
Miller County Elementary School,E
Miller County High School,H
Miller County Middle School,M
Baconton Community Charter School,K12
Mitchell County Elementary School,E
Mitchell County Middle School,M
Mitchell County Primary School,E
Mitchell County High School,H
Eagle's Landing Academy,K12
T.G. Scott Elementary School,E
Katherine B. Sutton Elementary School,E
"Monroe County Middle School, Banks Stephens Campus",M
Mary Persons High School,H
Samuel E. Hubbard Elementary School,E
Montgomery County Middle School,M
Montgomery County Elementary School,E
Montgomery County High School,H
Morgan County Elementary School,E
Morgan County High School,H
Morgan County Primary School,E
Morgan County Middle School,M
Woodlawn Elementary School,E
Pleasant Valley Innovative School,H
North Murray High School,H
Murray County High School,H
Coker Elementary School,E
Eton Elementary School,E
Bagley Middle School,M
Chatsworth Elementary School,E
Spring Place Elementary School,E
Gladden Middle School,M
Northwest Elementary School,E
Midland Middle School,M
Fox Elementary School,E
North Columbus Elementary,E
Eagle Ridge Academy,E
Early College Academy of Columbus at Waverly Terrace,H
Aaron Cohn Middle School,M
Fort Middle School,M
Hannan Elementary,E
Brewer Elementary School,E
Blackmon Road Middle School,M
"Martin Luther King, Jr. Elementary School",E
Northside High School,H
Veterans Memorial Middle School,M
Dorothy Height Elementary School,E
Shaw High School,H
Downtown Elementary Magnet Academy,E
Baker Middle School,M
East Columbus Magnet Academy,M
Spencer High School,H
Double Churches Middle School,M
Midland Academy,E
Rainey McCullers School of the Arts,M
Dimon Elementary,E
Georgetown Elementary School,E
Kendrick High School,H
Reese Road Leadership Academy,E
Arnold Middle School,M
Blanchard Elementary School,E
Clubview Elementary School,E
Double Churches Elementary School,E
Hardaway High School,H
Key Elementary School,E
Richards Middle School,M
Rothschild Leadership Academy School,M
Columbus High School,H
Britt David Elementary Computer Magnet Academy,E
Forrest Road Elementary School,E
Rigdon Road Elementary School,E
St. Marys Video and Communication Technology,E
Waddell Elementary School,E
Davis Elementary School,E
Lonnie Jackson Academy,E
Johnson Elementary School,E
Mathews Elementary School,E
Allen Elementary School,E
River Road Elementary School,E
South Columbus Elementary School,E
Wynnton Elementary School,E
Carver High School,H
Dawson Elementary School,E
Eddy Middle School,M
Gentian Elementary School,E
Jordan Vocational High School,H
Wesley Heights Elementary School,E
Veterans Memorial Middle School,M
Oak Hill Elementary School,E
Rocky Plains Elementary School,E
South Salem Elementary School,E
Liberty Middle School,M
Live Oak Elementary,E
Clements Middle School,M
Flint Hill Elementary,E
Newton County Theme School at Ficquett,E
Fairview Elementary,E
Newton High School,H
Cousins Middle School,M
Middle Ridge Elementary School,E
Alcovy High School,H
Eastside High School,H
West Newton Elementary School,E
Indian Creek Middle School,M
East Newton Elementary School,E
Livingston Elementary School,E
Mansfield Elementary School,E
Heard-Mixon Elementary School,E
Porterdale Elementary School,E
Rocky Branch Elementary School,E
North Oconee High School,H
High Shoals Elementary School,E
Oconee County Primary School,E
Oconee County Middle School,M
Malcom Bridge Elementary School,E
Malcom Bridge Middle School,M
Oconee County High School,H
Dove Creek Elementary School,E
Oconee County Elementary School,E
Colham Ferry Elementary School,E
Oglethorpe County Middle School,M
Oglethorpe County Elementary School,E
Oglethorpe County Primary School,E
Oglethorpe County High School,H
Hiram High School,H
Bessie L. Baggett Elementary,E
Lillian C. Poole Elementary School,E
South Paulding High School,H
Sammy McClure Sr. Middle School,M
North Paulding High School,H
Burnt Hickory Elementary School,E
WC Abney Elementary,E
McGarity Elementary School,E
South Paulding Middle School,M
Floyd L. Shelton Elementary School at Crossroad,E
Sam D. Panter Elementary School,E
Nebo Elementary School,E
C. A. Roberts Elementary School,E
Lena Mae Moses Middle School,M
Roland W. Russom Elementary,E
Sara M. Ragsdale Elementary,E
P. B. Ritch Middle School,M
East Paulding High School,H
Northside Elementary School,E
J. A. Dobbins Middle School,M
Allgood Elementary School,E
Connie Dugan Elementary School,E
Hal Hutchens Elementary,E
East Paulding Middle School,M
Irma C. Austin Middle School,M
Carl Scoggins Sr. Middle school,M
Dallas Elementary School,E
New Georgia Elementary School,E
Herschel Jones Middle School,M
Paulding County High School,H
Union Elementary School,E
Hiram Elementary School,E
Kay Road Elementary,E
Fort Valley Middle School,M
Byron Middle School,M
Hunt Elementary School,E
Byron Elementary School,E
Peach County High School,H
Hill City Elementary School,E
Harmony Elementary School,E
Pickens County Junior High School,M
Pickens County High School,H
Jasper Middle School,M
Tate Elementary School,E
Midway Elementary School,E
Pierce County High School,H
Pierce County Middle School,M
Blackshear Elementary School,E
Patterson Elementary School,E
Pike County Elementary School,E
Pike County Primary School,E
Pike County High School,H
Pike County Middle School,M
Zebulon High School,H
Rockmart High School,H
Cedartown Middle School,M
Rockmart Middle School,M
Westside Elementary School,E
Cherokee Elementary School,E
Northside Elementary,E
Harpst Academy,H
Van Wert Elementary School,E
Eastside Elementary School,E
Youngs Grove Elementary School,E
Cedartown High School,H
Pulaski County Middle School,M
Hawkinsville High School,H
Pulaski County Elementary School,E
Putnam County Middle School,M
Putnam County Primary School,E
Putnam County Elementary School,E
Putnam County High School,H
Quitman County High School,H
Quitman County Elementary,E
Rabun County Middle School,M
Rabun County Elementary School,E
Rabun County Primary School,E
Rabun County High School,H
Randolph Clay Middle School,M
Randolph Clay High School,H
Randolph County Elementary School,E
Cross Creek High School,H
Hephzibah Elementary School,E
Freedom Park Elementary,E
Wilkinson Gardens Elementary School,E
Deer Chase Elementary School,E
Lighthouse Care Center of Augusta,H
Pine Hill Middle School,M
W.S. Hornsby Middle School,M
Lamar - Milledge Elementary School,E
Meadowbrook Elementary School,E
Morgan Road Middle School,M
Jamestown Elementary School,E
Goshen Elementary School,E
Glenn Hills Middle School,M
Sue Reynolds Elementary School,E
Diamond Lakes Elementary School,E
Richmond County Technical Career Magnet School,H
Willis Foreman Elementary School,E
Tobacco Road Elementary School,E
McBean Elementary School,E
Lake Forest Hills Elementary School,E
Spirit Creek Middle School,M
Alternative Education Center at Lamar,H
Performance Learning Center,H
W.S. Hornsby Elementary School,E
Belair K-8 School,E
Butler High School,H
Garrett Elementary School,E
Langford Middle School,M
Rollins Elementary School,E
Walker Traditional Elementary School,E
Windsor Spring Road Elementary School,E
Hephzibah Middle School,M
Barton Chapel Elementary School,E
Copeland Elementary School,E
Glenn Hills Elementary School,E
Hephzibah High School,H
Merry Elementary School,E
Warren Road Elementary School,E
Westside High School,H
Bayvale Elementary School,E
Glenn Hills High School,H
Johnson Magnet,H
Josey High School,H
Blythe Elementary School,E
Gracewood Elementary School,E
Monte Sano Elementary School,E
Academy of Richmond County High School,H
Southside Elementary School,E
Davidson Magnet School,H
Terrace Manor Elementary School,E
Dorothy Hains Elementary School,E
Murphey Middle School,M
Tutt Middle School,M
Laney High School,H
Peek's Chapel Elementary,E
General Ray Davis Middle School,M
Hicks Elementary School,E
Honey Creek Elementary School,E
Heritage High School,H
Barksdale Elementary School,E
Sims Elementary School,E
Salem High School,H
Shoal Creek Elementary School,E
Lorraine Elementary School,E
Conyers Middle School,M
Hightower Trail Elementary School,E
Memorial Middle School,M
Edwards Middle School,M
Flat Shoals Elementary School,E
Pine Street Elementary School,E
Rockdale County High School,H
House Elementary School,E
Schley Middle High School,H
Schley County Elementary School,E
Screven County Elementary School,E
Screven County Middle School,M
Screven County High School,H
Seminole County Middle/High School,H
Seminole County Elementary School,E
Spalding High School,H
Moreland Road Elementary,E
Carver Road Middle School,M
Kennedy Road Middle School,M
Rehoboth Road Middle School,M
Griffin High School,H
Cowan Road Elementary School,E
Jordan Hill Road Elementary School,E
Futral Road Elementary School,E
Cowan Road Middle School,M
AZ Kelsey Academy,H
Anne Street Elementary School,E
Jackson Road Elementary School,E
Atkinson Elementary School,E
Beaverbrook Elementary School,E
Crescent Road Elementary School,E
Moore Elementary School,E
Orrs Elementary School,E
Stephens County Middle School,M
Liberty Elementary School,E
Big A Elementary School,E
Toccoa Elementary School,E
Stephens County Fifth Grade Academy,E
Stephens County High School,H
Stewart County Middle School,M
Stewart County Elementary School,E
Stewart County High School,H
Sumter County Primary School,E
Americus Sumter High School (Old Americus-Sumter HS S),H
Sumter County Elementary School,E
Sumter County Middle School,M
Americus Sumter 9th Grade Academy,H
Furlow Charter School,E
Sumter County Intermediate School,E
Central Elementary/High School,K12
Taliaferro County School,K12
North Tattnall Middle School,M
Tattnall County High School,H
South Tattnall Middle School,M
Collins Elementary School,E
Glennville Elementary School,E
Reidsville Elementary School,E
Taylor County Primary School,E
Taylor County Upper Elementary,E
Georgia Center,H
Taylor County High School,H
Taylor County Middle School,M
Telfair County Middle School,M
Telfair County Elementary,E
Telfair County High School,H
Telfair Alternative Preparation School (TAPS),H
Terrell High School,H
Terrell Middle School,M
Cooper-Carver Elementary School,E
Bishop Hall Charter School,H
Hand In Hand Primary,E
The Renaissance Center for Academic and Career Development,H
Thomas County Central High School,H
Cross Creek Elementary School,E
Thomas County Middle School,M
Garrison-Pilcher Elementary School,E
Annie Belle Clark Elementary School,E
G. O. Bailey Elementary School,E
Tift County High School,H
Eighth Street Middle School,M
J. T. Reddick Elementary School,E
Len Lastinger Elementary School,E
Northside Elementary School,E
Northeast Middle School,M
Omega Elementary School,E
Matt Wilson Elementary School,E
Charles Spencer Elementary School,E
Toombs County Middle School,M
Lyons Primary School,E
Toombs County High School,H
Lyons Upper Elementary,E
Toombs Central Elementary School,E
Towns County Elementary School,E
Towns County Middle School,M
Towns County High School,H
Treutlen Elementary School,E
Treutlen Middle/High School,H
Callaway Elementary School,E
West Point Elementary School,E
Long Cane Elementary School,E
Gardner-Newman Middle School,M
Hollis Hand Elementary School,E
Callaway High School,H
Callaway Middle School,M
Franklin Forest Elementary,E
Bradfield Center - Ault Academy,H
Long Cane Middle School,M
Troup County High School,H
Hogansville Elementary School,E
Ethel W. Kight Elementary School,E
Clearview Elementary School,E
LaGrange High School,H
Hillcrest Elementary School,E
Rosemont Elementary School,E
Berta Weathersbee Elementary School,E
Turner County Middle School,M
Turner County Elementary School,E
Turner County Specialty School,M
Turner County High School,H
Jeffersonville Elementary,E
Twiggs County High School,H
Twiggs Middle School,M
Union County High School,H
Union County Elementary School,E
Union County Middle School,M
Union County Primary School,E
Woody Gap High/Elementary School,K12
Upson-Lee Primary School,E
Upson-Lee High School,H
Upson-Lee Elementary School,E
Upson-Lee Middle School,M
Rock Spring Elementary School,E
Chattanooga Valley Middle School,M
Saddle Ridge Elementary and Middle School,M
LaFayette Middle School,M
Ridgeland High School,H
Rossville Elementary School,E
Gilbert Elementary School,E
LaFayette High School,H
Cherokee Ridge Elementary,E
North LaFayette Elementary School,E
Rossville Middle School,M
Fairyland Elementary School,E
Naomi Elementary School,E
Chattanooga Valley Elementary School,E
Stone Creek Elementary School,E
Atha Road Elementary School,E
Youth Middle School,M
Monroe Elementary,E
Sharon Elementary School,E
Walnut Grove High School,H
Harmony Elementary School,E
Bay Creek Elementary School,E
Loganville Elementary School,E
Carver Middle School,M
Walnut Grove Elementary School,E
Loganville High School,H
Youth Elementary School,E
Monroe Area High School,H
Loganville Middle School,M
Walker Park Elementary School,E
Ware County High School,H
Williams Heights Elementary School,E
Waycross Middle School,M
Center Elementary School,E
Ware County Middle School,M
Ruskin Elementary School,E
Memorial Drive Elementary School,E
Waresboro Elementary School,E
Wacona Elementary School,E
Warren County Middle School,M
Warren County High School,H
Freeman Elementary School,E
T. J. Elder Middle School,M
Washington County High School,H
Ridge Road Primary School,E
Ridge Road Elementary School,E
Wayne County High School,H
Martha Puckett Middle School,M
Arthur Williams Middle School,M
Martha Rawls Smith Elementary School,E
Bacon Elementary School,E
Jesup Elementary School,E
Screven Elementary School,E
Odum Elementary School,E
Webster County Elementary/Middle School,E
Webster County High School,H
Wheeler County Elementary School,E
Wheeler County Middle School,M
Wheeler County High School,H
Tesnatee Gap Elementary (Old White Co. Intermediate),E
Mount Yonah Elementary School,E
White County High School,H
Mossy Creek Elementary School,E
White County Middle School,M
Jack P Nix Elementary School,E
New Hope Middle School,M
Coahulla Creek High School,H
Northwest Whitfield County High School,H
New Hope Elementary School,E
Beaverdale Elementary School,E
Cedar Ridge Elementary,E
Phoenix High School,H
Southeast Whitfield County High School,H
Eastbrook Middle School,M
North Whitfield Middle School,M
Valley Point Middle School,M
Westside Middle School,M
Antioch Elementary School,E
Eastside Elementary School,E
Varnell Elementary School,E
Cohutta Elementary School,E
Pleasant Grove Elementary School,E
Westside Elementary School,E
Dawnville Elementary School,E
Tunnel Hill Elementary School,E
Dug Gap Elementary School,E
Valley Point Elementary School,E
Wilcox County Middle School,M
Wilcox County Elementary School,E
Wilcox County High School,H
Washington-Wilkes Primary School,E
Washington-Wilkes Comprehensive High School,H
Washington-Wilkes Elementary School,E
Washington-Wilkes Middle School,M
Wilkinson County Elementary School,E
Wilkinson County Middle School,M
Wilkinson County Primary School,E
Wilkinson County High School,H
Worth County Elementary School,E
Worth County High School,H
Worth County Middle School,M
Worth County Primary School,E
Worth County Achievement Center,H
Brown Middle School,M
Parkside Elementary School,E
Heritage Academy Elementary,E
Dobbs Elementary School,E
Finch Elementary,E
Early College High School at Carver,H
Kipp Strive Academy,M
Springdale Park Elementary School,E
KIPP VISION,M
Kindezi,E
Long Middle School,M
Bunche Middle School,M
Mays High School,H
"Maynard H. Jackson, Jr. High School",H
Sylvan Hills Middle School,M
North Atlanta High School,H
Cascade Elementary School,E
Centennial Academy,E
Charles R. Drew Charter School,E
Atlanta Neighborhood Charter - Middle,M
Hillside Conant School,H
KIPP Atlanta Collegiate Academy,H
KIPP Strive Primary,E
KIPP Vision Primary,E
Kipp WAYS Primary School,E
Young Middle School,M
Price Middle School,M
Perkerson Elementary School,E
Bolton Academy,E
Deerwood Academy School,E
Burgess-Peterson Elementary School,E
Westside Atlanta Charter School,E
Booker T. Washington High School,H
King Middle School,M
APS-Forrest Hills Academy,H
Atlanta Classical Academy,K12
Harper-Archer Middle School,M
Atlanta Neighborhood Charter - Elementary,E
Miles Elementary School,E
Charles Drew Charter School JA/SA,H
Bazoline E. Usher/Collier Heights Elmentary School,E
KIPP West Atlanta Young Scholars Academy,M
Boyd Elementary School,E
Hutchinson Elementary School,E
Kimberly Elementary School,E
Rivers Elementary School,E
Towns Elementary School,E
Wesley International Academy Charter Facility,E
Therrell High School,H
Corretta Scott King Womens' Leadership Academy,H
B.E.S.T Academy,H
South Atlanta High School,H
Carver High School,H
Michael R. Hollis Innovation Academy,E
Woodson Park Academy,E
Tuskegee Airman Global Academy,E
Kindezi Old 4th Ward,E
John Lewis Invictus Academy,M
KIPP Soul Primary,E
Garden Hills Elementary School,E
Inman Middle School,M
Smith Elementary School,E
Morningside Elementary School,E
Brandon Elementary School,E
The John Hope-Charles Walter Hill Elementary Schools,E
Gideons Elementary School,E
Jackson Elementary School,E
Lin Elementary School,E
West Manor Elementary School,E
Crim High School,H
Beecher Hills Elementary School,E
Continental Colony Elementary School,E
Fain Elementary School,E
Peyton Forest Elementary School,E
Sutton Middle School,M
Fickett Elementary School,E
Scott Elementary School,E
Cleveland Elementary School,E
Douglass High School,H
M. A. Jones Elementary School,E
Slater Elementary School,E
Grady High School,H
Benteen Elementary School,E
Barack and Michelle Obama Academy,E
Thomasville Heights Elementary School,E
Dunbar Elementary School,E
Humphries Elementary School,E
F. L. Stanton Elementary School,E
Toomer Elementary School,E
Bremen 4th & 5th Grade Academy,E
Bremen High School,H
Bremen Middle School,M
Jones Elementary School,E
Buford Academy,E
Buford Middle School,M
Buford High School,H
Buford Elementary School,E
Calhoun Middle School,M
Calhoun Elementary School,E
Calhoun High School,H
Carrollton Middle-Upper Elementary School,E
Carrollton Elementary School,E
Carrollton High School,H
Carrollton Jr. High School,M
Cartersville Primary School,E
Cartersville Elementary School,E
Cartersville Middle School,M
Cartersville High School,H
Gordon Lee Middle School,M
Gordon Lee High School,H
Chickamauga Elementary School,E
Commerce Primary,E
Commerce Middle School,M
Commerce High School,H
Commerce Elementary School,E
Park Creek Elementary School,E
Blue Ridge Elementary School,E
Morris Innovative High School,H
Westwood Elementary School,E
Dalton Middle School,M
City Park Elementary School,E
Brookwood Elementary School,E
Roan Elementary School,E
Dalton High School,H
Oakhurst Elementary School,E
Fifth Avenue Elementary,E
Westchester Elementary School,E
New Glennwood Elementary,E
Winnona Park Elementary School,E
Clairemont Elementary School,E
Renfroe Middle School,M
Decatur High School,H
Dublin Middle School,M
Hillcrest Elementary,E
Dublin High School,H
Susie Dasher,E
Moore Street Facility,H
New Holland Core Knowledge Academy,E
Gainesville Middle School,M
Centennial Arts Academy,E
Gainesville Exploration Academy,E
Mundy Mill Academy,E
Enota Multiple Intelligences Academy,E
Fair Street International Baccalaureate World School,E
Gainesville High School,H
Jefferson Middle School,M
Jefferson Academy,E
Jefferson High School,H
Jefferson Elementary School,E
Marietta High School,H
Sawyer Road Elementary School,E
Marietta Center for Advanced Academics,E
A.L. Burruss Elementary School,E
Dunleith Elementary School,E
Marietta Middle School,M
George W. Hartmann Center,H
